,,MESURES DE CENTRALITÉ,,,,,,,,,,,,
Glenk,Robert,1,1417,1,2537,1,2539,0.353,2531,0,1421,0.004,2571,
Glotz,G.,1,1418,13,830,13,867,0.447,560,0,1422,0.043,675,
Gluck,Gustav,1,1419,1,2538,1,2540,0.353,2532,0,1423,0.004,2572,
Goblet,,1,1420,1,2539,1,2541,0.353,2533,0,1424,0.004,2573,
Goellner,A. de,1,1421,26,498,26,548,0.356,2453,0,1425,0.024,1503,
Goetl,W.,1,1422,5,1526,5,1543,0.413,1237,0,1426,0.041,925,
Gogin,Gertrude,1,1423,6,1254,6,1273,0.385,2104,0,1427,0.011,1935,
Golay,Maurice,1,1424,20,624,20,676,0.465,313,0,1428,0.068,404,
Goldschmidt,R.,1,1425,5,1527,5,1544,0.413,1238,0,1429,0.041,926,
Gombocz,Zoltan,1,1426,28,439,28,482,0.434,709,0,1430,0.044,646,
Good,J. F.,1,1427,2,2244,2,2256,0.373,2262,0,1431,0.008,2221,
Gordon Hewitt,C.,1,1428,19,649,19,694,0.396,1938,0,1432,0.018,1644,
Gordon Watson,H.,1,1429,2,2245,2,2257,0.37,2303,0,1433,0.005,2426,
Gorphe,,1,1430,5,1528,5,1545,0.413,1239,0,1434,0.041,927,
Gotsch,Georg,1,1431,5,1529,5,1546,0.413,1240,0,1435,0.041,928,
Gottschalk,,1,1432,44,246,46,284,0.446,585,65.8,506,0.093,268,
Gouault,E.,1,1433,1,2540,1,2542,0.374,2230,0,1436,0.006,2336,
Gould,Gladis H.,1,1434,1,2541,1,2543,0.399,1838,0,1437,0.009,2105,
Gourdon,,1,1435,1,2542,1,2544,0.353,2534,0,1438,0.004,2574,
Goy,Henri,1,1436,7,1154,7,1187,0.434,710,0,1439,0.047,592,
Graf,Hans,1,1437,1,2543,1,2545,0.399,1839,0,1440,0.009,2106,
Graf,Georg Engelbert,1,1438,2,2246,2,2258,0.377,2164,0,1441,0.007,2259,
Graff,L. von,1,1439,19,650,19,695,0.396,1939,0,1442,0.018,1645,
Graft,Van de,1,1440,1,2544,1,2546,0.353,2535,0,1443,0.004,2575,
Graftiau,Firmin,1,1441,4,1948,4,1963,0.418,985,0,1444,0.015,1760,
Graham,,1,1442,6,1256,6,1275,0.334,2759,0,1445,0.004,2576,
Granville,A.,1,1443,21,582,21,635,0.336,2743,0,1446,0.007,2260,
Green,Mabel,1,1444,5,1530,5,1547,0.413,1241,0,1448,0.041,930,
Green,Norah E.,1,1445,10,953,10,982,0.394,1971,0,1449,0.014,1798,
Green,,1,1446,2,2247,2,2259,0.376,2182,0,1450,0.007,2261,
Gregg,Alan,1,1447,21,583,21,637,0.405,1682,0,1451,0.028,1436,
Grellet,P.,1,1448,5,1531,5,1548,0.413,1242,0,1452,0.041,931,
Griessen,Charles,1,1449,6,1257,6,1276,0.419,953,0,1453,0.018,1646,
Grimm,Pierre,1,1450,21,584,21,638,0.405,1683,0,1454,0.028,1437,
Grimm,Valerie,1,1451,5,1533,5,1550,0.401,1757,0,1455,0.011,1936,
Grinberg,Suzanne,1,1452,12,867,12,899,0.438,675,324.5,349,0.052,543,
Grintescu,I.,1,1453,21,585,21,639,0.405,1684,0,1456,0.028,1438,
Grintzesco,Alice,1,1454,1,2545,1,2547,0.399,1840,0,1457,0.009,2107,
Groh,F.,1,1455,27,463,27,513,0.429,777,0,1458,0.031,1380,
Grossmann,R.,1,1456,5,1534,5,1551,0.413,1243,0,1459,0.041,932,
Grotenfelt,K.,1,1457,9,999,9,1035,0.413,1244,0,1460,0.018,1647,
Gruber,Jean Jacques,1,1458,5,1535,5,1552,0.413,1245,0,1461,0.041,933,
Gruet,Paul,1,1459,5,1536,5,1553,0.413,1246,0,1462,0.041,934,
Grunebaum-Ballin,,1,1460,5,1537,5,1554,0.413,1247,0,1463,0.041,935,
Gruvel,A.,1,1461,5,1538,5,1555,0.413,1248,0,1464,0.041,936,
Gry,Leon,1,1462,1,2546,1,2548,0.36,2415,0,1465,0.005,2427,
Grzegorczyk,Mariun,1,1463,5,1539,5,1556,0.413,1249,0,1466,0.041,937,
Gsell,Paul,1,1464,5,1540,5,1557,0.413,1250,0,1467,0.041,938,
Guery,Pierre,1,1465,5,1541,5,1558,0.413,1251,0,1470,0.041,939,
Guglielmi,,1,1466,1,2547,1,2549,0.369,2333,0,1471,0.005,2429,
Guillaume,Ch.,1,1467,6,1258,6,1277,0.416,1018,930.2,226,0.042,714,
Guiral Moreno,Enrique,1,1468,6,1259,6,1278,0.457,438,0,1472,0.027,1456,
Gummerus,J.,1,1469,9,1000,9,1036,0.413,1252,0,1473,0.018,1648,
Gundersen,Carl,1,1470,2,2249,2,2260,0.363,2362,0,1474,0.007,2262,
Gundry,Ronald R.,1,1471,2,2250,2,2261,0.382,2127,0,1475,0.009,2108,
Gunter,Rafael Yela,1,1472,1,2548,1,2550,0.353,2536,0,1476,0.004,2577,
Gunther,Georg,1,1473,3,2081,3,2090,0.403,1708,0,1477,0.015,1761,
Gusti,,1,1474,1,2549,1,2551,0.399,1841,0,1478,0.009,2110,
Gutofsky,N.,1,1475,14,807,14,839,0.393,1988,0,1479,0.017,1701,
Guyot,,1,1476,31,387,31,442,0.423,870,592.1,265,0.065,416,
Haase,,1,1477,3,2082,3,2091,0.4,1783,0,1480,0.01,2003,
Habbel,Franz Ludwig,1,1478,2,2251,2,2262,0.348,2701,0,1481,0.004,2578,
Haberlandt,Arthur,1,1479,1,2550,1,2552,0.353,2537,0,1482,0.004,2579,
Haberlandt,Michael,1,1480,1,2551,1,2553,0.353,2538,0,1483,0.004,2580,
Haberlin,,1,1481,2,2252,2,2263,0.375,2199,0,1484,0.006,2338,
Habicht,Max,1,1482,7,1155,7,1188,0.401,1758,0,1485,0.014,1799,
Hadow,W. H.,1,1483,5,1543,5,1560,0.413,1253,0,1486,0.041,940,
Hager,,1,1484,5,1544,5,1561,0.413,1254,0,1487,0.041,941,
Hahm,Konrad,1,1485,6,1260,6,1279,0.426,826,0,1488,0.045,619,
Hain Jou Kia,,1,1486,6,1261,6,1280,0.346,2711,0,1489,0.008,2222,
Haking,Richard,1,1487,8,1058,8,1091,0.413,1255,0,1490,0.019,1618,
Hakki,Ismail,1,1488,1,2552,1,2554,0.399,1842,0,1491,0.009,2111,
Halden,Charles ab der,1,1489,13,832,13,868,0.412,1601,0,1492,0.026,1466,
Hall,Duncan,1,1490,8,1059,8,1092,0.371,2284,0,1493,0.008,2223,
Hall,D. G. E.,1,1491,3,2083,3,2092,0.347,2705,0,1494,0.004,2581,
Hallet,Max,1,1492,31,388,31,443,0.459,394,0,1495,0.057,486,
Halutscynskij,,1,1493,5,1545,5,1562,0.413,1256,0,1496,0.041,942,
Hamblen,,1,1494,5,1546,5,1563,0.356,2454,0,1497,0.005,2430,
Hamburger,D.,1,1495,41,278,41,332,0.441,636,0,1498,0.07,386,
Hamel,Van,1,1496,2,2253,2,2264,0.4,1784,0,1499,0.009,2112,
Hamilton,Alice,1,1497,21,586,21,640,0.336,2744,0,1500,0.007,2263,
Hammond,N.W.,1,1498,1,2553,1,2555,0.36,2416,0,1501,0.005,2431,
Hanalamd,,1,1499,1,2554,1,2556,0.374,2232,0,1502,0.006,2339,
Hanauer,Julius,1,1500,1,2555,1,2557,0.399,1843,0,1503,0.009,2113,
Hanna,R. W.,1,1501,15,772,15,808,0.444,604,0,1504,0.034,1336,
Hannema,D.,1,1502,1,2556,1,2558,0.353,2539,0,1505,0.004,2582,
Hanselmann,,1,1503,3,2084,3,2093,0.394,1972,0,1506,0.011,1937,
Hanszer,Max,1,1504,3,2085,3,2094,0.408,1648,0,1507,0.016,1736,
Hardie,,1,1505,1,2557,1,2559,0.353,2540,0,1509,0.004,2583,
Hardy,E. R.,1,1506,1,2558,1,2560,0.399,1844,0,1510,0.009,2114,
Harris,S. W.,1,1507,1,2559,1,2561,0.369,2334,0,1513,0.005,2432,
Harris,F. R.,1,1508,2,2256,2,2265,0.337,2733,0,1514,0.003,2735,
Harrison,M.A.,1,1509,13,833,13,869,0.463,350,0,1515,0.043,676,
Harrison Thomas,Francesa,1,1510,7,1156,7,1189,0.385,2105,0,1516,0.011,1938,
Hartogh,M. de,1,1511,5,1547,5,1564,0.413,1257,0,1517,0.041,945,
Harvey,George,1,1512,4,1949,4,1966,0.331,2774,0,1518,0.002,2765,
Hastings,C. H.,1,1513,7,1157,7,1190,0.402,1730,0,1519,0.019,1619,
Hauff,Bruno,1,1514,42,258,45,295,0.439,667,20.7,589,0.092,276,
Hauser,F.,1,1515,10,954,10,983,0.45,522,0,1520,0.032,1363,
Hauser,Enrique,1,1516,1,2560,1,2562,0.322,2805,0,1521,0.001,2819,
Hautant,,1,1517,3,2086,3,2097,0.392,2029,0,1522,0.01,2004,
Haward,Laurence,1,1518,5,1548,5,1565,0.413,1258,0,1523,0.041,946,
Haye,M.,1,1519,5,1549,5,1566,0.413,1259,0,1524,0.041,947,
Hayler,Guy,1,1520,1,2561,1,2563,0.374,2233,0,1525,0.006,2341,
Haylett,,1,1521,4,1950,4,1967,0.38,2141,0,1526,0.009,2115,
Hazard,Julia R.,1,1522,1,2562,1,2564,0.399,1845,0,1527,0.009,2116,
Healy,John,1,1523,5,1550,5,1567,0.413,1260,0,1528,0.041,948,
Hebe,Emile,1,1524,5,1551,5,1568,0.413,1261,0,1529,0.041,949,
Hefele,,1,1525,5,1552,5,1569,0.413,1262,0,1530,0.041,950,
Heger,Paul,1,1526,4,1951,4,1968,0.34,2731,0,1531,0.004,2584,
Heiberg,J. L.,1,1527,15,773,15,809,0.448,547,0,1532,0.045,620,
Heilbrunn,,1,1528,5,1553,5,1570,0.413,1263,0,1533,0.041,951,
Heile,,1,1529,5,1554,5,1571,0.413,1264,0,1534,0.041,952,
Heimburg,von,1,1530,5,1555,5,1572,0.413,1265,0,1535,0.041,953,
Heinrichs,,1,1531,6,1262,7,1191,0.446,586,0,1536,0.05,564,
Heller,Bernard,1,1532,28,440,28,483,0.434,711,0,1537,0.044,648,
Hemingway,Charles R.,1,1533,11,904,11,931,0.414,1038,0,1538,0.022,1551,
Hemming,Doris,1,1534,5,1556,5,1573,0.413,1266,0,1539,0.041,954,
Hendrick,Lillian,1,1535,5,1557,5,1574,0.413,1267,0,1540,0.041,955,
Hennessy,Jean,1,1536,16,732,16,775,0.473,223,0,1541,0.046,601,
Henriquez Urena,Pedro,1,1537,1,2563,1,2565,0.353,2541,0,1542,0.004,2585,
Heraux,Hermann,1,1538,2,2257,2,2266,0.37,2305,0,1543,0.005,2433,
Hercourt,d',1,1539,1,2564,1,2566,0.353,2542,0,1545,0.004,2586,
Hermann,M.,1,1540,1,2565,1,2567,0.353,2543,0,1546,0.004,2587,
Hermann-Otavsky,Karl,1,1541,6,1263,6,1281,0.415,1029,0,1547,0.042,715,
Hermes,M. C.,1,1542,1,2566,1,2568,0.346,2712,0,1548,0.003,2736,
Herrera,Rafael Larco,1,1543,1,2567,1,2569,0.353,2544,0,1549,0.004,2588,
Hertz,Friedrich,1,1544,1,2568,1,2570,0.374,2234,0,1550,0.006,2342,
Herzberg,W.,1,1545,10,956,10,984,0.413,1268,0,1552,0.024,1505,
Herzfeld,H.,1,1546,2,2259,2,2267,0.37,2307,0,1553,0.005,2435,
Hesse,Andre,1,1547,18,677,18,726,0.418,986,170.4,432,0.055,510,
Hesselberg,Th.,1,1548,3,2088,3,2100,0.392,2030,0,1554,0.01,2006,
Heumburg,Werner von,1,1549,5,1558,5,1575,0.413,1269,0,1555,0.041,956,
Hevesy,de,1,1550,3,2089,3,2101,0.419,955,0,1556,0.015,1763,
Heymann,Ernst,1,1551,11,905,11,933,0.364,2358,0,1557,0.015,1764,
Hill,H. F.,1,1552,15,775,15,810,0.444,605,0,1558,0.034,1337,
Hill,George Francis,1,1553,1,2569,1,2571,0.353,2545,0,1559,0.004,2589,
Hingre,R.,1,1554,7,1158,7,1192,0.389,2093,0,1560,0.013,1857,
Hirsch,G. C.,1,1555,5,1559,5,1576,0.413,1270,0,1561,0.041,957,
Hirschman,M. C. A. W.,1,1556,2,2260,2,2268,0.377,2165,0,1562,0.008,2224,
Hirst,Hugo,1,1557,1,2570,1,2572,0.322,2806,0,1563,0.001,2820,
Hissink,,1,1558,7,1159,8,1093,0.413,1271,0,1564,0.043,678,
Hitonen,E. Marks de,1,1559,5,1560,5,1577,0.413,1272,0,1565,0.041,958,
Hjelmslev,Louis,1,1560,5,1561,5,1578,0.413,1273,0,1566,0.041,959,
Hobson,R. L.,1,1561,1,2571,1,2573,0.353,2546,0,1567,0.004,2590,
Hochreutiner,GPG,1,1562,2,2261,2,2269,0.352,2675,0,1568,0.005,2436,
Hoeffer,Ernst,1,1563,3,2090,3,2102,0.361,2385,0,1570,0.006,2343,
Hoesch,Von,1,1564,4,1952,4,1969,0.44,659,0,1571,0.021,1567,
Hofman,J. J.,1,1565,3,2091,3,2103,0.392,2031,0,1572,0.01,2007,
Hofmann,Fr.,1,1566,1,2572,1,2574,0.353,2547,0,1573,0.004,2591,
Hofmeister,Friedrich,1,1567,8,1061,8,1094,0.458,409,0,1574,0.054,522,
Hoijnck van Papendrecht,A.,1,1568,1,2573,1,2575,0.353,2548,0,1575,0.004,2592,
Hoki,,1,1569,5,1562,5,1579,0.413,1274,0,1576,0.041,960,
Holley,Francis,1,1570,4,1953,4,1970,0.409,1636,0,1577,0.015,1765,
Holley,Horace,1,1571,1,2574,1,2576,0.346,2713,0,1578,0.003,2737,
Holman,A.,1,1572,5,1563,5,1580,0.413,1275,0,1579,0.041,961,
Holwech,Wilhelm,1,1573,5,1564,5,1581,0.413,1276,0,1580,0.041,962,
Holwerda,J. H.,1,1574,1,2575,1,2577,0.353,2549,0,1581,0.004,2593,
Holzer,Franz,1,1575,6,1265,6,1283,0.383,2119,0,1582,0.01,2008,
Homburg,Robert,1,1576,5,1565,5,1582,0.413,1277,0,1583,0.041,963,
Homolle,Th.,1,1577,5,1566,5,1583,0.401,1759,0,1584,0.017,1702,
Hondros,D.,1,1578,16,734,16,778,0.414,1039,0,1585,0.023,1525,
Hooft,C. G.,1,1579,1,2576,1,2578,0.353,2550,0,1586,0.004,2594,
Hooper,Sydney E.,1,1580,2,2262,2,2270,0.399,1846,0,1587,0.009,2117,
Hoover,Harvey D.,1,1581,1,2577,1,2579,0.36,2417,0,1588,0.005,2437,
Hora,V.,1,1582,27,465,27,514,0.429,778,0,1589,0.031,1382,
Horner,N. G.,1,1583,6,1266,6,1284,0.403,1709,0,1590,0.017,1703,
Horta,Victor,1,1584,3,2092,3,2104,0.414,1040,0,1591,0.013,1858,
Horwath,G.,1,1585,3,2093,3,2105,0.392,2032,0,1592,0.01,2009,
Hoshi,Hajime,1,1586,14,810,14,840,0.393,1989,0,1593,0.017,1704,
Hostelet,,1,1587,8,1062,8,1095,0.395,1956,0,1594,0.015,1766,
Hotchkiss,Margt. S.,1,1588,6,1267,6,1285,0.428,804,0,1595,0.022,1553,
Hotchkiss,Thomas W.,1,1589,1,2578,1,2580,0.36,2418,0,1596,0.005,2438,
Houdeil,Jane,1,1590,6,1268,6,1286,0.419,956,0,1597,0.044,649,
House,E. M.,1,1591,4,1954,4,1971,0.41,1629,0,1598,0.013,1859,
House,R. B.,1,1592,2,2263,2,2271,0.4,1785,0,1599,0.009,2118,
Howard,Frances R.,1,1593,1,2579,1,2581,0.399,1847,0,1600,0.009,2119,
Hoyningen-Huene,von,1,1594,5,1567,5,1584,0.413,1278,0,1602,0.041,964,
Hshia,,1,1595,15,777,15,812,0.426,828,0,1603,0.033,1347,
Hubbard,Gustave,1,1596,2,2264,2,2272,0.296,2840,0,1604,0.001,2821,
Huber,Hans,1,1597,5,1568,5,1585,0.413,1279,0,1605,0.041,965,
Huber-Noodt,U.,1,1598,5,1569,5,1586,0.413,1280,0,1606,0.041,966,
Hubert,Lucien,1,1599,9,1003,9,1041,0.457,440,0,1607,0.029,1418,
Hudig,F. W.,1,1600,6,1269,6,1287,0.426,829,0,1608,0.045,621,
Hudson,Holland,1,1601,4,1955,4,1972,0.362,2367,0,1609,0.01,2010,
Huet,Emile,1,1602,1,2580,1,2582,0.399,1848,0,1610,0.009,2120,
Huizinga,J.,1,1603,12,869,12,901,0.433,732,0,1611,0.036,1313,
Humphrey,Gwenaeth E.,1,1604,2,2265,2,2273,0.4,1786,0,1612,0.01,2011,
Hunt,Dorothy,1,1605,5,1570,5,1587,0.413,1281,0,1613,0.041,967,
Hunt,John D.,1,1606,10,957,10,985,0.394,1973,0,1614,0.013,1860,
Hurley,Helen C.,1,1607,5,1571,5,1588,0.425,854,0,1615,0.02,1591,
Huster,Howard,1,1608,6,1270,6,1288,0.373,2263,0,1616,0.01,2012,
Hutchinson,F. E.,1,1609,5,1572,5,1589,0.413,1282,0,1617,0.041,968,
Hutchinson,Charles L.,1,1610,1,2581,1,2583,0.353,2551,0,1618,0.004,2595,
Huysmans,Camille,1,1611,1,2582,1,2584,0.353,2552,0,1619,0.004,2596,
Ianitzky,,1,1612,5,1573,5,1590,0.413,1283,0,1620,0.041,969,
Ibrovac,Miodrag,1,1613,5,1574,5,1591,0.412,1602,0,1621,0.017,1705,
Ifould,W. H.,1,1614,45,236,45,296,0.464,326,2395,130,0.082,314,
Illington,Marjorie,1,1615,5,1575,5,1592,0.413,1284,0,1622,0.041,970,
Imperiali,,1,1616,8,1064,8,1096,0.409,1637,0,1623,0.021,1568,
Inagaki,Morikatsu,1,1617,9,1004,9,1042,0.42,930,0,1624,0.02,1592,
Iredale,Eleonora,1,1618,3,2094,3,2106,0.39,2082,0,1626,0.011,1939,
Ishida,Tomoji,1,1619,7,1161,7,1193,0.332,2766,0,1627,0.002,2766,
Issaiev,V. J.,1,1620,50,211,50,257,0.472,242,0,1628,0.12,180,
Istovan,Lejti,1,1621,28,442,28,484,0.434,713,0,1629,0.044,651,
Ivanov,Nicolas,1,1622,6,1271,6,1289,0.383,2120,0,1630,0.01,2013,
Jaccard,Remi,1,1623,5,1576,5,1593,0.356,2455,0,1631,0.005,2439,
Jackh,Ernst,1,1624,5,1577,5,1594,0.413,1285,0,1632,0.041,971,
Jackman,,1,1625,4,1956,4,1973,0.379,2145,0,1633,0.01,2014,
Jacks,,1,1626,5,1578,5,1595,0.413,1286,0,1634,0.041,972,
Jacoby,Siegfried,1,1627,7,1162,7,1194,0.419,957,0,1636,0.017,1706,
Jaech,Ernst,1,1628,5,1579,5,1596,0.413,1287,0,1637,0.041,973,
Jaegle,,1,1629,5,1580,5,1597,0.413,1288,0,1638,0.041,974,
Jakob,H.,1,1630,1,2583,1,2585,0.374,2235,0,1639,0.006,2344,
Jaloux,Edmond,1,1631,5,1581,5,1598,0.413,1289,0,1640,0.041,975,
James,F. E.,1,1632,5,1582,5,1599,0.357,2446,0,1641,0.006,2345,
Janisky,H.,1,1633,1,2584,1,2586,0.283,2859,0,1642,0,2856,
Jankausnas,Platon,1,1634,4,1957,4,1974,0.419,958,0,1643,0.018,1649,
Janner,,1,1635,1,2585,1,2587,0.346,2714,0,1644,0.003,2738,
Janowski,Aleksander,1,1636,1,2586,1,2588,0.353,2553,0,1645,0.004,2597,
Jatho,Herm.,1,1637,5,1583,5,1600,0.413,1290,0,1646,0.041,976,
Jauregui,Antonio Batres,1,1638,1,2587,1,2589,0.353,2554,0,1647,0.004,2598,
Jean Louis,Victor D.,1,1639,2,2266,2,2274,0.401,1760,0,1648,0.012,1887,
Jean-Bernard,,1,1640,5,1584,5,1601,0.413,1291,0,1649,0.041,977,
Jeanton,,1,1641,1,2588,1,2590,0.353,2555,0,1650,0.004,2599,
Jenkinson,Hilary,1,1642,10,958,10,986,0.413,1292,0,1651,0.024,1506,
Jenks,,1,1643,5,1585,5,1602,0.413,1293,0,1652,0.041,978,
Jensen,Allan,1,1644,7,1163,7,1195,0.385,2106,0,1653,0.011,1940,
Jentsch,Gerhard F.,1,1645,5,1586,5,1603,0.413,1294,0,1654,0.041,979,
Jergenson,A.,1,1646,1,2589,1,2591,0.369,2335,0,1655,0.005,2440,
Jesse,R.,1,1647,1,2590,1,2592,0.353,2556,0,1657,0.004,2600,
Jezequel,J.,1,1648,7,1164,7,1196,0.419,959,0,1658,0.045,622,
Jillieron,Emile,1,1649,20,628,20,679,0.456,470,0,1659,0.041,980,
Jitta,N. M. Josephus,1,1650,21,587,21,641,0.336,2745,0,1660,0.007,2264,
Joan,Stefan,1,1651,5,1587,5,1604,0.413,1295,0,1661,0.041,981,
Joerger,K.,1,1652,5,1588,5,1605,0.413,1296,0,1662,0.041,982,
Johansson,Axel,1,1653,5,1589,5,1606,0.413,1297,0,1663,0.041,983,
Jonas,,1,1654,5,1590,5,1607,0.413,1298,0,1664,0.041,984,
Jones,H. W.,1,1655,5,1591,5,1608,0.413,1299,0,1665,0.041,985,
Jonescu,J. B.,1,1656,21,588,21,642,0.405,1685,0,1666,0.028,1439,
Jordan,Ed.,1,1657,5,1592,5,1609,0.413,1300,0,1667,0.041,986,
Jorge,Ricardo,1,1658,21,589,21,643,0.336,2746,0,1668,0.007,2265,
Joseph-Barthelemy,,1,1659,5,1593,5,1610,0.413,1301,0,1669,0.041,987,
Joshi,S. L.,1,1660,5,1594,5,1611,0.413,1302,0,1670,0.041,988,
Josyer,G. R.,1,1661,2,2267,2,2275,0.418,987,0,1671,0.014,1800,
Joycet,Thos. A.,1,1662,5,1595,5,1612,0.413,1303,0,1672,0.041,989,
Judd,C. W.,1,1663,7,1166,7,1198,0.404,1700,0,1673,0.015,1767,
Jullien,,1,1664,1,2591,1,2593,0.353,2557,0,1674,0.004,2601,
Junghann,,1,1665,5,1596,5,1613,0.413,1304,0,1675,0.041,990,
Junker,H.,1,1666,5,1597,5,1614,0.413,1305,0,1676,0.041,991,
Junod,Ed.,1,1667,1,2592,1,2594,0.374,2236,0,1677,0.006,2347,
Justi,Ludwig,1,1668,1,2593,1,2595,0.353,2558,0,1678,0.004,2602,
Kaan,Ch.,1,1669,19,651,19,698,0.396,1940,0,1679,0.018,1650,
Kadlec,Charles,1,1670,27,467,27,516,0.429,779,0,1680,0.031,1383,
Kaeslin,Robert,1,1671,2,2268,2,2276,0.375,2201,0,1681,0.006,2348,
Kaivers,Andre,1,1672,8,1067,8,1097,0.442,617,0,1683,0.032,1364,
Kalbach,L. A.,1,1673,1,2594,1,2596,0.374,2237,0,1684,0.006,2349,
Kalijarvi,Thorsten,1,1674,5,1598,5,1615,0.413,1306,0,1685,0.041,992,
Kalitsounakis,D.,1,1675,16,737,16,780,0.414,1041,0,1686,0.023,1526,
Kallner,Siegfried,1,1676,5,1599,5,1616,0.413,1307,0,1688,0.041,993,
Kalogeropoulos,Panagiotes D.,1,1677,3,2095,3,2107,0.401,1761,0,1689,0.012,1888,
Kamenev,,1,1678,6,1272,6,1290,0.385,2107,0,1690,0.011,1941,
Karplus,Hugo,1,1679,5,1601,5,1617,0.413,1308,0,1691,0.041,994,
Kartzke,,1,1680,5,1602,5,1618,0.413,1309,0,1692,0.041,995,
Kask,,1,1681,5,1603,5,1619,0.413,1310,0,1693,0.041,996,
Kasselblatt,A.,1,1682,8,1068,8,1098,0.362,2368,0,1694,0.006,2350,
Keay,William C.,1,1683,5,1604,5,1620,0.413,1311,0,1695,0.041,997,
Keeny,S. M.,1,1684,14,813,14,842,0.393,1992,0,1696,0.017,1707,
Kehler,,1,1685,9,1007,9,1044,0.452,502,0,1697,0.033,1350,
Kehn,,1,1686,5,1605,5,1621,0.413,1312,0,1698,0.041,998,
Keil,,1,1687,70,136,70,181,0.457,442,0,1699,0.15,124,
Keller,R. A.,1,1688,5,1606,5,1622,0.413,1313,0,1700,0.041,999,
Kelway,Geraldine,1,1689,8,1069,8,1099,0.426,831,0,1701,0.025,1484,
Kempen,M. E. C.,1,1690,5,1607,5,1623,0.413,1314,0,1702,0.041,1000,
Kendrick,A. F.,1,1691,1,2595,1,2597,0.353,2559,0,1703,0.004,2603,
Kennedy,H. A.,1,1692,1,2596,1,2598,0.353,2560,0,1704,0.004,2604,
Kennedy,,1,1693,1,2597,1,2599,0.353,2561,0,1705,0.004,2605,
Kent,N. A.,1,1694,7,1167,7,1199,0.406,1670,0,1706,0.022,1555,
Kent,Henri W.,1,1695,1,2598,1,2600,0.353,2562,0,1707,0.004,2606,
Kern,Alfred,1,1696,5,1608,5,1624,0.308,2833,0,1708,0.001,2822,
Kesoller-Muller,H.,1,1697,1,2599,1,2601,0.353,2563,0,1709,0.004,2607,
Kestner,Paul,1,1698,3,2096,3,2108,0.391,2073,0,1710,0.013,1862,
Ketwich Verschuur,Van,1,1699,7,1168,7,1200,0.322,2807,0,1711,0.002,2767,
Kidde,E. R.,1,1700,5,1609,5,1625,0.413,1315,0,1712,0.041,1001,
Kiefe,R.,1,1701,5,1610,5,1626,0.413,1316,0,1713,0.041,1002,
Kiesel,Karl,1,1702,5,1611,5,1627,0.413,1317,0,1714,0.041,1003,
Kifsling,,1,1703,15,781,15,816,0.475,208,0,1715,0.045,623,
Kihnik,,1,1704,1,2600,1,2602,0.399,1849,0,1716,0.009,2121,
Kilian,,1,1705,4,1959,4,1976,0.407,1656,0,1717,0.011,1942,
Kilpe,K.,1,1706,40,307,40,356,0.433,733,0,1718,0.075,349,
Kilpper,,1,1707,4,1960,4,1977,0.442,618,0,1719,0.029,1419,
King,Charles,1,1708,2,2269,2,2277,0.41,1630,0,1720,0.014,1802,
Kingsbury,Susan M.,1,1709,5,1612,5,1628,0.462,365,0,1721,0.034,1338,
Kirkoff,Tatiana E.,1,1710,5,1613,5,1629,0.413,1318,0,1722,0.041,1004,
Kiroff,A.,1,1711,2,2270,2,2278,0.371,2285,0,1723,0.007,2266,
Kisch,G.,1,1712,21,590,21,644,0.405,1686,0,1724,0.028,1440,
Kissling,,1,1713,4,1961,4,1978,0.355,2460,0,1725,0.005,2441,
Kittredge,F. B.,1,1714,2,2271,2,2279,0.381,2139,0,1726,0.009,2122,
Klein,Gaston,1,1715,6,1273,6,1292,0.383,2121,0,1729,0.01,2016,
Klein,Peter,1,1716,1,2601,1,2603,0.399,1850,0,1728,0.009,2123,
Klein,J.,1,1717,1,2602,1,2604,0.322,2808,0,1730,0.001,2823,
Klimas,Petras,1,1718,5,1614,5,1630,0.413,1319,0,1731,0.041,1005,
Kliment,Florenz ,1,1719,1,2603,1,2605,0.399,1851,0,1732,0.009,2124,
Kling,,1,1720,5,1615,5,1631,0.361,2386,0,1733,0.007,2267,
Klir,,1,1721,27,469,27,517,0.429,781,0,1734,0.031,1385,
Klocke,,1,1722,3,2097,3,2109,0.4,1787,0,1735,0.013,1863,
Klunnyj,Pierre,1,1723,5,1616,5,1632,0.413,1320,0,1736,0.041,1006,
Kluyver,A.,1,1724,12,871,12,903,0.433,734,0,1737,0.036,1315,
Knes,Berje/Berje,1,1725,6,1274,6,1293,0.385,2108,0,1738,0.011,1943,
Knudsen,Sven V.,1,1726,8,1070,8,1100,0.399,1852,0,1740,0.018,1651,
Koefoed,H.E.,1,1727,3,2098,3,2110,0.392,2033,0,1741,0.01,2017,
Koenigs,C.,1,1728,5,1617,5,1633,0.413,1321,0,1742,0.041,1007,
Kogel,G. R.,1,1729,5,1618,5,1634,0.413,1322,0,1743,0.041,1008,
Kohl,Halkema,1,1730,22,555,22,606,0.464,327,0,1744,0.073,364,
Kohnstamm,Ph.,1,1731,5,1619,5,1635,0.413,1323,0,1745,0.041,1009,
Kommany,,1,1732,4,1962,4,1979,0.402,1732,0,1746,0.012,1889,
Konek Norwall,Fritz V.,1,1733,2,2272,2,2280,0.401,1762,0,1747,0.012,1890,
Kopecky,,1,1734,5,1620,5,1636,0.347,2706,0,1748,0.006,2351,
Kopera,Felix,1,1735,1,2604,1,2606,0.353,2564,0,1749,0.004,2608,
